Sleeper_ID;ADP;Player_Name;Last_Month;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;All_Year
7713;257;"Jaelon Darden,WR";12;0;0;0;0;9;9;0;0;0;0;0;0;18
6908;258;"La'Mical Perine,RB";37;26;15;28;32;54;9;0;0;0;0;0;0;164
6878;260;"Anthony McFarland,RB";22;23;32;55;47;46;5;0;0;0;0;0;0;208
2588;260;"Malcolm Brown,RB";21;3;2;11;10;35;6;0;0;0;0;0;0;67
7703;260;"Jacob Harris,TE";0;0;0;0;0;0;0;0;0;0;0;0;0;0
1386;264;"Giovani Bernard,RB";32;8;14;18;22;36;13;0;0;0;0;0;0;111
4054;264;"Mo Alie-Cox,TE";12;1;5;6;8;18;3;0;0;0;0;0;0;41
4150;265;"Wayne Gallman,RB";27;13;11;5;21;26;9;0;0;0;0;0;0;85
4351;265;"Tim Patrick,WR";17;22;8;12;18;28;7;0;0;0;0;0;0;95
4741;266;"Dan Arnold,TE";0;0;0;0;0;0;0;0;0;0;0;0;0;0
6931;268;"DeeJay Dallas,RB";24;19;27;31;22;41;4;0;0;0;0;0;0;144
6148;268;"Preston Williams,WR";31;28;34;33;39;53;8;0;0;0;0;0;0;195
6847;269;"Devin Duvernay,WR";22;24;17;20;18;27;13;0;0;0;0;0;0;119
2583;269;"Tyrell Williams,WR";16;3;2;21;14;31;2;0;0;0;0;0;0;73
3976;270;"Mitchell Trubisky,QB";34;41;29;39;26;56;8;0;0;0;0;0;0;199
5068;270;"Kerryon Johnson,RB";30;7;13;19;15;84;7;0;0;0;0;0;0;145
6843;270;"Albert Okwuegbunam,TE";15;18;9;21;16;32;5;0;0;0;0;0;0;101
7560;271;"Pooka Williams,RB";5;0;1;1;0;6;0;0;0;0;0;0;0;8
5911;271;"Jalen Hurd,WR";14;5;7;6;7;15;4;0;0;0;0;0;0;44
6989;272;"Marquez Callaway,WR";20;7;9;8;6;26;8;0;0;0;0;0;0;64
3209;274;"Devontae Booker,RB";23;2;1;16;16;33;5;0;0;0;0;0;0;73
7534;276;"Seth Williams,WR";10;0;2;1;3;10;4;0;0;0;0;0;0;20
7586;276;"Dazz Newsome,WR";10;0;0;0;2;11;4;0;0;0;0;0;0;17
5131;278;"Justin Jackson,RB";11;14;7;12;14;15;2;0;0;0;0;0;0;64
2161;278;"Jerick McKinnon,RB";18;4;7;7;6;35;5;0;0;0;0;0;0;64
7720;278;"Kene Nwangwu,RB";11;0;0;0;0;10;3;0;0;0;0;0;0;13
6951;279;"Eno Benjamin,RB";17;9;8;22;16;26;4;0;0;0;0;0;0;85
7537;279;"Jaret Patterson,RB";12;0;0;1;1;6;7;0;0;0;0;0;0;15
3297;279;"Tajae Sharpe,WR";0;0;0;0;1;0;0;0;0;0;0;0;0;1
7597;280;"Kenny Yeboah,TE";8;0;0;0;0;8;3;0;0;0;0;0;0;11
6136;281;"Jarrett Stidham,QB";2;7;4;7;3;7;1;0;0;0;0;0;0;29
