tradeid;time;leagueid;items1;items2;owner1;owner2;rounds
645023423675846656;1608153745041;642881605513330688;"2021-02.07; 2021-06.07";2021-01.06;571885294823559168;571919779705741312;30
645047123196329984;1608154162902;640390155361923072;"2021-02.04; 2021-05.04; 2022-01";"2021-01.10; 2021-09.10";443132915346305024;643288630344896512;25
645049528214466560;1608154583655;643180020554092544;"2021-03.11; 2021-06.11";"2021-03.06; 2021-06.06";607312272582316032;634991052519976960;30
645049553283825664;1608180703626;642881605513330688;"2021-04.07; 2021-07.07; 2023-01";"2021-11.02; 2021-11.12; 2021-03.12";462257441967435776;571919779705741312;30
645057416605540352;1608156196069;642193452871884800;2021-11.12;2022-01;640680475949621248;76440522096787456;38
645069578610786304;1608159127457;642193452871884800;2022-01;"2021-11.02; 2022-03";68828001634500608;417609044493082624;38
645071528563671040;1608175624239;641792599157600256;"2021-29.09; 2021-30.09";"2021-28.07; 2021-31.07";581365416757071872;548223357306863616;31
645073309167325184;1608161329537;642193452871884800;2022-01;"2021-12.12; 2022-03";76440522096787456;417609044493082624;38
645075387889565696;1608160588825;643180020554092544;"2021-04.02; 2021-05.02";"2021-03.09; 2021-10.10";309396564642627584;338062010799390720;30
645079837760925696;1608163681809;640390155361923072;"2021-02.11; 2021-05.11; 2021-07.11; 2021-09.11; 2022-02";"2021-02.06; 2021-05.06; 2021-07.06; 2021-09.06; 2022-02";473309683885535232;77796487824031744;25
645083362372984832;1608163085760;644423062112149504;"2021-02.07; 2021-05.07";2021-01.04;471718938078605312;566830890545123328;27
645087338812252160;1608163350575;644423062112149504;"2021-01.08; 2021-10.08; 2021-04.08";2021-01.02;383767607469264896;67883338018734080;27
645090448850882560;1608164081243;640390155361923072;"2021-02.01; 2021-04.01; 2022-01";"2021-02.10; 2021-05.10";443132915346305024;473349322834964480;25
645123978314223616;1608177022616;643570949232353280;2022-01;"2021-11.12; 2021-12.12; 2021-12.05; 2021-11.11";11;443650294622973952;28
645135331565355008;1608174779111;644423062112149504;"2021-02.02; 2021-05.02";2021-01.09;435483482039250944;383767607469264896;27
645141849262108672;1608176347138;640390155361923072;"2021-02.08; 2021-07.08";"2021-03.09; 2021-04.09";670758445661642752;340503798705369088;25
645325468278546432;1608221697224;640390155361923072;"2021-14.05; 2021-02.05; 2022-04";"2021-07.08; 2021-05.09; 2021-06.09; 2022-01; 2022-02";670758445661642752;459499946555469824;25
645333633741176832;1608222489334;643180020554092544;"2021-04.11; 2021-05.11; 2021-06.06";"2021-07.10; 2021-04.02; 2021-05.02";309396564642627584;634991052519976960;30
645341497738227712;1608224018173;640390155361923072;"2021-03.02; 2021-04.02";"2021-04.08; 2022-01";340503798705369088;340500247417520128;25
645367570127474688;1608230596791;644423062112149504;2021-03.09;"2021-05.05; 2021-06.05";607312272582316032;435483482039250944;27
645385485782421504;1608234678686;644423062112149504;"2021-06.04; 2021-05.07";"2021-04.02; 2021-07.02";383767607469264896;471718938078605312;27
645389520723841024;1608235432201;643180020554092544;"2021-12.11; 2021-02.11; 2021-04.02";"2021-06.11; 2021-04.06; 2023-01; 2021-04.09; 2021-06.09";607312272582316032;634991052519976960;30
645403594845134848;1608238848396;643180020554092544;"2021-05.04; 2021-09.04";2021-04.09;634991052519976960;621812265284378624;30
645408230188613632;1608240312506;644423062112149504;"2021-05.02; 2021-05.09";"2021-04.08; 2021-09.02; 2022-01";383767607469264896;435483482039250944;27
645451475883003904;1608250708603;643180020554092544;"2021-06.02; 2021-08.02";"2021-10.12; 2021-05.12";367873457070997504;338062010799390720;30
645489801444884480;1608259788885;643180020554092544;"2021-07.01; 2021-05.09";"2021-11.04; 2021-06.04; 2021-07.04; 2022-01";621812265284378624;417609044493082624;30
645489836383428608;1608259535119;644283230517817344;2021-04.07;"2021-07.01; 2022-01";407771069890445312;565684665600733184;38
645489845627711488;1608259317093;643180020554092544;"2021-10.05; 2021-05.05";"2021-10.08; 2021-05.08";493867998407290880;431667524656955392;30
645495579274833920;1608260666773;644283230517817344;2021-04.05;"2021-05.12; 2021-07.12";585961054668894208;465703826335199232;38
